PublishedLineName,DirectionRef,NextStopPointName
B6,1.0,BAY PY/65 ST
B57,0.0,FLUSHING AV/KNICKERBOCKER AV
B36,0.0,AV Z/OCEAN PY
B43,1.0,TOMPKINS AV/HALSEY ST
B25,0.0,FULTON ST/KINGSTON AV
B9,0.0,AV N/MC DONALD AV
B38,0.0,STARR ST/METROPOLITAN AV
B8,0.0,AV D/SCHENECTADY AV
B3,1.0,AV U/E 15 ST
B35,1.0,CHURCH AV/E 54 ST
B6,0.0,ASHFORD ST/LINDEN BL
B24,1.0,WOODPOINT RD\CONSELYEA ST
B25,0.0,FULTON ST/ASHLAND PL
B41,1.0,FLATBUSH AV/DORCHESTER RD
B82,0.0,FLATLANDS AV/E 108 ST
B46,1.0,KINGS PLAZA
B46-SBS,0.0,UTICA AV/FULTON ST
B49,0.0,ROGERS AV/BEVERLEY RD
B35,1.0,CHURCH AV/REMSEN AV
B17,0.0,REMSEN AV/AV L
B82,0.0,KINGS HY/NOSTRAND AV
B82,0.0,BAY PY/78 ST
B12,0.0,FULTON ST/ALABAMA AV
B46,0.0,UTICA AV/CLARENDON RD
B61,0.0,9 ST/SMITH ST
B65,1.0,BERGEN ST/CLASSON AV
B15,0.0,JFK AIRPORT/TERMINAL 5 AirTrain STATION
B9,1.0,NARROWS AV/BAY RIDGE AV
B1,1.0,86 ST/16 AV
B2,0.0,AV R/E 36 ST
B42,0.0,GLENWOOD RD (B42 - does not stop)
B38,0.0,STARR ST/WOODWARD AV
B6,1.0,CROPSEY AV/26 AV
B41,0.0,FLATBUSH AV/CHURCH AV
B84,0.0,FLATLANDS AV/ESSEX ST
B3,1.0,AV U/E 18 ST
B82,1.0,KINGS HY/E 13 ST
B46-SBS,1.0,UTICA AV/AV N
B8,1.0,18 AV/E 2 ST
B7,1.0,SARATOGA AV/SUTTER AV
B35,0.0,HEGEMAN AV/MOTHER GASTON BL
B8,1.0,AV D/NEW YORK AV
B36,0.0,NEPTUNE AV/OCEAN PY
B3,0.0,AV U/OCEAN AV
B15,0.0,130 PL/W HANGAR RD STOP 20A
B6,0.0,AV J/E 16 ST
B6,0.0,GLENWOOD RD/NOSTRAND AV
B42,0.0,ROCKAWAY PY/AV K
B49,0.0,ROGERS AV/LINCOLN RD
B20,0.0,PENNSYLVANIA AV/SUTTER AV
B38,0.0,FULTON ST/BOND ST
B38,1.0,DE KALB AV/BUSHWICK AV
B13,1.0,CYPRESS HILLS ST/78 AV
B25,1.0,FULTON ST/MALCOLM X BL
B38,0.0,SENECA AV/MADISON ST
B69,0.0,VANDERBILT AV/PLAZA ST E
B35,1.0,CHURCH AV/STORY ST
B20,0.0,ASHFORD ST/STANLEY AV
B57,1.0,FLUSHING AV/CUMBERLAND ST
B25,1.0,FRONT ST/YORK ST
B38,1.0,DE KALB AV/ST NICHOLAS AV
B65,1.0,BERGEN ST/BOND ST
B44,1.0,NOSTRAND AV/AV T
B44,0.0,NEW YORK AV/UNION ST
B41,0.0,FLATBUSH AV/HAWTHORNE ST
B16,1.0,13 AV/43 ST
B11,1.0,58 ST/1 AV
B41,1.0,LIVINGSTON ST/SMITH ST
B14,1.0,DUMONT AV/MOTHER GASTON BL
